sample,batch,ctActin,tmActin
117-SC,1,30.4287014008,92.1823196411
35-SC,1,20.0928382874,92.0330963135
65-SC,1,20.5593147278,92.0365142822
76-SC,1,21.2082939148,92.0365142822
85-SC,1,19.2559127808,
93-SC,1,21.1131305695,91.8870849609
11-SC,1,31.939956665,92.0330963135
38-SC,1,20.0770606995,91.8838653564
66-SC,1,19.2863750458,92.0365142822
77-SC,1,19.2450714111,92.0365142822
86-SC,1,20.7125244141,
95-SC,1,21.3715496063,91.8870849609
13-SC,1,,
40-SC,1,20.2069282532,91.8838653564
68-SC,1,19.3710289001,91.8872756958
78-SC,1,21.0617675781,91.8872756958
87-SC,1,21.3546390533,91.7378311157
97-SC,1,19.6158485413,91.8870849609
14-SC,1,23.5734863281,91.8838653564
44-SC,1,20.1448764801,91.8838653564
69-SC,1,21.0418739319,91.8872756958
80-SC,1,20.5833930969,91.8872756958
88-SC,1,19.8121032715,
98-SC,1,23.1732177734,92.0363464355
18-SC,1,22.7845668793,71.4398193359
45-SC,1,19.8688526154,91.8838653564
70-SC,1,19.4488716125,91.8872756958
81-SC,1,20.4256477356,91.8872756958
89-SC,1,28.9712619781,91.8870849609
99-SC,1,20.7740211487,91.8870849609
22-SC,1,22.3042964935,92.0330963135
52-SC,1,23.3867645264,91.8838653564
73-SC,1,21.1699676514,91.8872756958
82-SC,1,21.3816680908,91.8872756958
90-SC,1,19.3368053436,91.8870849609
100-SC,1,20.8435153961,91.8870849609
23-SC,1,27.5672473907,91.8838653564
53-SC,1,24.1511821747,91.8838653564
74-SC,1,22.4705276489,92.0365142822
83-SC,1,20.3123855591,92.0365142822
91-SC,1,19.3946037292,92.0363464355
101-SC,1,20.3880615234,91.8870849609
32-SC,1,29.8251609802,92.0330963135
64-SC,1,20.5600833893,92.0330963135
75-SC,1,20.8226604462,92.1857452393
84-SC,1,20.4546775818,92.0365142822
92-SC,1,20.4684104919,92.0363464355
117-VIS,1,23.2943572998,91.8829803467
35-VIS,1,18.3160018921,91.8829803467
65-VIS,1,19.0627651215,
76-VIS,1,19.4419498444,92.0342559814
85-VIS,1,22.2184123993,91.8805236816
93-VIS,1,19.7003860474,92.0297698975
11-VIS,1,18.9421977997,91.8829803467
38-VIS,1,21.0541477203,91.8829803467
66-VIS,1,19.0921630859,91.8850021362
77-VIS,1,19.6256008148,
86-VIS,1,19.3784561157,91.7312850952
95-VIS,1,25.7278594971,91.7312850952
13-VIS,1,19.9076843262,73.9741134644
40-VIS,1,19.8263397217,
68-VIS,1,22.1688995361,91.8850021362
78-VIS,1,18.5564346313,91.8850021362
87-VIS,1,37.5031585693,91.7312850952
97-VIS,1,19.6085548401,
14-VIS,1,20.7421875,73.0786743164
44-VIS,1,22.2837963104,91.7337417603
69-VIS,1,20.8014144897,70.5415115356
80-VIS,1,26.3277130127,91.8850021362
88-VIS,1,22.4512996674,91.7312850952
98-VIS,1,21.0849742889,91.7312850952
18-VIS,1,20.2745571136,70.2431030273
45-VIS,1,19.8237285614,91.7337417603
70-VIS,1,19.6130542755,73.3773574829
81-VIS,1,28.2842159271,91.735748291
89-VIS,1,29.2768325806,91.7312850952
99-VIS,1,25.4955692291,91.8805236816
22-VIS,1,21.8303928375,91.8829803467
52-VIS,1,20.7970333099,91.8829803467
73-VIS,1,22.1732330322,91.735748291
82-VIS,1,20.3786258698,92.0342559814
90-VIS,1,19.1208343506,73.0758285522
100-VIS,1,24.5398750305,91.8805236816
23-VIS,1,22.3642921448,
53-VIS,1,34.6987609863,88.7489318848
74-VIS,1,19.9073410034,91.8850021362
83-VIS,1,19.4830608368,91.8850021362
91-VIS,1,24.0135936737,91.8805236816
101-VIS,1,23.8538074493,92.0297698975
32-VIS,1,20.1755256653,92.0322265625
64-VIS,1,20.0796089172,92.0322265625
75-VIS,1,19.3074169159,92.0342559814
84-VIS,1,91.8850021362,
92-VIS,1,24.9473686218,92.0297698975
106-SC,2,,84.7533035278
106-VIS,2,23.6747093201,91.8204498291
107-SC,2,,94.5153045654
107-VIS,2,23.6950855255,91.8204498291
108-SC,2,22.6999816895,91.9656982422
108-VIS,2,23.150812149,91.8204498291
111-SC,2,26.1000099182,91.6726989746
111-VIS,2,19.6303825378,91.6703033447
118-SC,2,22.0297355652,91.8191986084
118-VIS,2,21.819360733,91.6703033447
119-SC,2,21.6939182281,91.8191986084
119-VIS,2,31.9495658875,91.6703033447
121-SC,2,25.3747653961,91.9656982422
121-VIS,2,21.1814098358,91.6703033447
122-SC,2,28.7746715546,91.9656982422
122-VIS,2,21.1400165558,91.9705963135
123-SC,2,24.185716629,91.9656982422
123-VIS,2,21.1074256897,91.6703033447
126-SC,2,20.6196460724,91.9656982422
126-VIS,2,19.26055336,91.6703033447
127-SC,2,22.4782085419,91.6726989746
127-VIS,2,18.163974762,91.6703033447
128-SC,2,22.7124767303,91.6726989746
128-VIS,2,22.5433063507,91.6703033447
130-SC,2,20.8733520508,91.6726989746
130-VIS,2,21.3074359894,91.8204498291
131-SC,2,20.0638542175,91.6726989746
131-VIS,2,28.9381561279,91.6703033447
132-SC,2,19.8297080994,91.6726989746
132-VIS,2,39.6718788147,91.6703033447
133-SC,2,21.4237499237,91.9656982422
133-VIS,2,29.2463245392,91.9705963135
134-SC,2,30.1932296753,88.6654968262
134-VIS,2,30.7498626709,92.109954834
135-SC,2,20.878950119,92.1211013794
135-VIS,2,22.6869812012,91.668800354
137-SC,2,20.6691818237,91.6753997803
137-VIS,2,25.3006153107,91.8180007935
138-SC,2,17.3477993011,91.6753997803
138-VIS,2,19.9062690735,91.668800354
139-SC,2,25.5201358795,91.8258514404
139-VIS,2,19.0518550873,91.668800354
140-SC,2,26.5537490845,91.9763031006
140-VIS,2,25.3750495911,91.668800354
141-SC,2,26.8611068726,91.9763031006
141-VIS,2,23.7769203186,91.8180007935
143-SC,2,22.7653141022,92.1211013794
143-VIS,2,26.5589828491,92.109954834
144-SC,2,22.1595649719,91.9763031006
144-VIS,2,24.5660610199,92.109954834
149-SC,2,20.7518062592,91.9763031006
149-VIS,2,23.7544212341,91.668800354
150-SC,2,22.2676811218,91.6753997803
150-VIS,2,22.2238578796,91.668800354
151-SC,2,26.0447921753,91.6753997803
151-VIS,2,25.6322498322,91.8180007935
152-SC,2,25.7333202362,91.6753997803
152-VIS,2,22.5973472595,91.8180007935
153-SC,2,25.5160160065,91.6753997803
153-VIS,2,21.7232818604,91.668800354
154-SC,2,28.4394168854,92.1211013794
154-VIS,2,21.1717376709,91.8180007935
155-SC,2,28.3540744781,92.1211013794
155-VIS,2,24.2774162292,92.109954834
157-SC,2,23.2602977753,91.9679031372
157-VIS,2,25.6463394165,91.6701965332
158-SC,2,23.2106647491,91.6707992554
158-VIS,2,23.379327774,91.6701965332
159-SC,2,24.8331546783,91.6707992554
159-VIS,2,34.0110931396,88.2086029053
161-SC,2,26.2718257904,91.6707992554
161-VIS,2,28.0127067566,91.6701965332
162-SC,2,23.9691295624,91.6707992554
162-VIS,2,22.0764636993,91.6701965332
163-SC,2,22.388299942,91.9679031372
163-VIS,2,29.9639644623,91.6701965332
164-SC,2,27.2079410553,91.9679031372
164-VIS,2,23.4934501648,91.818397522
165-SC,2,24.0593128204,91.9679031372
165-VIS,2,23.3094291687,91.9665985107
166-SC,2,24.58959198,91.8193511963
166-VIS,2,25.5377445221,92.1102981567
167-SC,2,22.831237793,91.6707992554
167-VIS,2,26.1292591095,91.6701965332
168-SC,2,18.330789566,91.6707992554
168-VIS,2,24.9871311188,91.818397522
169-SC,2,21.835641861,91.6707992554
169-VIS,2,27.1997909546,91.6701965332
170-SC,2,32.1870422363,91.9679031372
170-VIS,2,25.8622627258,91.6701965332
173-SC,2,,
173-VIS,2,24.0012378693,91.6701965332
174-SC,2,20.5055007935,91.9679031372
174-VIS,2,27.1278305054,92.1102981567
